node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Morris et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Morris et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Radford et al. 2018) core source_INCLUDE_NA_Population not in support_yes_no,(Radford et al. 2018) core source,INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Wayne et al. 2017b)_INCLUDE_NA_Population not in support_yes_no,(Wayne et al. 2017b),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(West et al. 2018)_EXCLUDE_NA_Does not test claim_NA_NA,(West et al. 2018),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Does not test claim,Excluded,Not relevant,Excluded
(Woinarski et al. 2011a)_INCLUDE_NA_Population in support_yes_yes,(Woinarski et al. 2011a),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Woinarski et al. 2011a)_INCLUDE_NA_Population not in support_yes_yes,(Woinarski et al. 2011a),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Ramos 1994)_INCLUDE_NA_Predation in support_no_no,(Ramos 1994),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Conservation 1991)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Conservation 1991),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Harper 2005)_INCLUDE_NA_Predation not in support_no_no,(Harper 2005),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Karl & Best 1982)_INCLUDE_NA_Predation not in support_no_no,(Karl & Best 1982),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Alterio & Moller 1997)_INCLUDE_NA_Predation not in support_no_no,(Alterio & Moller 1997),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Clapperton 2001)_EXCLUDE_NA_No claim_NA_NA,(Clapperton 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Ratz 1997)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Ratz 1997),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Ratz et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Ratz et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Ratz et al. 1999)_INCLUDE_NA_Predation not in support_no_no,(Ratz et al. 1999),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
"J. Short, unpublished observations_EXCLUDE_NA_Unpublished data or article_NA_NA","J. Short, unpublished observations",EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Short & Turner 2000)_INCLUDE_NA_Predation in support_no_no,(Short & Turner 2000),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Berruti 1986)_EXCLUDE_NA_No claim_NA_NA,(Berruti 1986),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Yorio & Boersma 1994)_EXCLUDE_NA_No claim_NA_NA,(Yorio & Boersma 1994),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Taylor 1986)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Taylor 1986),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Threatened Species Scientific Committee 2006)_EXCLUDE_NA_Expert opinion_NA_NA,(Threatened Species Scientific Committee 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Woinarski 2007)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Woinarski 2007),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
"(Daugherty & Towns 1991)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Daugherty & Towns 1991),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Dekker 1989)_EXCLUDE_NA_No claim_NA_NA,(Dekker 1989),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Ludwig 1979)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Ludwig 1979),EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
"C. Terry, pers. comm. 1999_EXCLUDE_NA_Personal communication_NA_NA","C. Terry, pers. comm. 1999",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
"Telfer, pers. comm 1998_EXCLUDE_NA_Personal communication_NA_NA","Telfer, pers. comm 1998",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(USFWS 2013a)_EXCLUDE_NA_Expert opinion_NA_NA,(USFWS 2013a),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Banko et al. 2004)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Banko et al. 2004),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Snetsinger et al. 1994)_INCLUDE_NA_Predation not in support_no_no,(Snetsinger et al. 1994),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Oliver 1930)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Oliver 1930),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Mellink 2002)_EXCLUDE_NA_No claim_NA_NA,(Mellink 2002),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Matayoshi 2014)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Matayoshi 2014),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Blythman et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Blythman et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Burns 2020)_INCLUDE_NA_Predation not in support_no_no,(Burns 2020),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Clarke 2011)_INCLUDE_NA_Predation in support_no_no,(Clarke 2011),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cockburn 1981)_INCLUDE_NA_Predation in support_no_no,(Cockburn 1981),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Comer et al. 2020)_INCLUDE_NA_Population not in support_yes_no,(Comer et al. 2020),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Doherty et al. 2017)_INCLUDE_NA_Predation in support_no_no,(Doherty et al. 2017),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Evans et al. 2021)_INCLUDE_NA_Predation not in support_no_no,(Evans et al. 2021),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Fancourt et al. 2015)_INCLUDE_NA_Population not in support_yes_yes,(Fancourt et al. 2015),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Feit et al. 2019)_INCLUDE_NA_Predation in support_no_no,(Feit et al. 2019),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Gardiner et al. 2018)_INCLUDE_NA_Population not in support_yes_yes,(Gardiner et al. 2018),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Geyle et al. 2024)_INCLUDE_NA_Population not in support_yes_no,(Geyle et al. 2024),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Hayward et al. 2012)_INCLUDE_NA_Predation not in support_no_no,(Hayward et al. 2012),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Hollings et al. 2014)_INCLUDE_NA_Population in support_yes_yes,(Hollings et al. 2014),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(James et al. 2002)_INCLUDE_NA_Predation in support_no_no,(James et al. 2002),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Letnic & Koch 2010)_INCLUDE_NA_Population not in support_yes_yes,(Letnic & Koch 2010),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Letnic et al. 2009)_INCLUDE_NA_Population not in support_yes_yes,(Letnic et al. 2009),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Lohr et al. 2021)_INCLUDE_NA_Predation in support_no_no,(Lohr et al. 2021),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Lohr et al. 2022)_INCLUDE_NA_Predation not in support_no_no,(Lohr et al. 2022),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Martin et al. 2006)_INCLUDE_NA_Predation in support_no_no,(Martin et al. 2006),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(McDonald et al. 2014)_INCLUDE_NA_Predation in support_no_no,(McDonald et al. 2014),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Miritis et al. 2020)_INCLUDE_NA_Predation in support_no_no,(Miritis et al. 2020),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Miritis et al. 2020)_INCLUDE_NA_Population not in support_yes_yes,(Miritis et al. 2020),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Moore et al. 2024)_INCLUDE_NA_Population not in support_yes_yes,(Moore et al. 2024),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Moseby et al. 2021a)_INCLUDE_NA_Population not in support_yes_no,(Moseby et al. 2021a),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Moseby et al. 2012)_INCLUDE_NA_Predation in support_no_no,(Moseby et al. 2012),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Moseby et al. 2019)_INCLUDE_NA_Population in support_yes_no,(Moseby et al. 2019),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Moseby et al. 2020)_INCLUDE_NA_Population in support_yes_no,(Moseby et al. 2020),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Neave et al. 2024)_INCLUDE_NA_Population in support_yes_no,(Neave et al. 2024),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Norton et al. 2015)_INCLUDE_NA_Population not in support_yes_no,(Norton et al. 2015),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Palmer et al. 2021)_INCLUDE_NA_Population not in support_yes_no,(Palmer et al. 2021),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Paltridge et al. 2020)_INCLUDE_NA_Population in support_no_no,(Paltridge et al. 2020),INCLUDE,"",Population in support,no,no,Population in support without data,Population in support without data,Population without data,Yes,Population in support without data
(Paltridge et al. 2020)_INCLUDE_NA_Predation not in support_no_no,(Paltridge et al. 2020),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Paltridge 2005)_INCLUDE_NA_Population not in support_yes_no,(Paltridge 2005),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Priddel & Wheeler 2004)_INCLUDE_NA_Predation in support_no_no,(Priddel & Wheeler 2004),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Read et al. 2019a)_INCLUDE_NA_Predation in support_no_no,(Read et al. 2019a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Read et al. 2019a)_INCLUDE_NA_Predation not in support_no_no,(Read et al. 2019a),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Rees et al. 2024)_INCLUDE_NA_Population not in support_yes_yes,(Rees et al. 2024),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Richards 2012a)_INCLUDE_NA_Population not in support_no_no,(Richards 2012a),INCLUDE,"",Population not in support,no,no,Population not in support without data,Population not in support without data,Population without data,No,Population not in support without data
(Robinson et al. 2021)_INCLUDE_NA_Predation not in support_no_no,(Robinson et al. 2021),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Robinson et al. 2020)_INCLUDE_NA_Predation not in support_no_no,(Robinson et al. 2020),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Robley et al. 2022)_INCLUDE_NA_Population not in support_yes_yes,(Robley et al. 2022),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Schwarz 1995)_INCLUDE_NA_Predation in support_no_no,(Schwarz 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Short & Hide 2012)_INCLUDE_NA_Predation in support_no_no,(Short & Hide 2012),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Southgate et al. 2007)_INCLUDE_NA_Population not in support_yes_yes,(Southgate et al. 2007),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Stobo-Wilson et al. 2020)_INCLUDE_NA_Population in support_yes_no,(Stobo-Wilson et al. 2020),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Stobo-Wilson et al. 2020)_INCLUDE_NA_Population in support_yes_yes,(Stobo-Wilson et al. 2020),INCLUDE,"",Population in support,yes,yes,Population in support with data of quality,Population in support with data of quality,Population with data,Yes,Population in support with data
(Stokeld et al. 2016)_INCLUDE_NA_Predation in support_no_no,(Stokeld et al. 2016),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Trewella et al. 2023)_INCLUDE_NA_Population not in support_yes_yes,(Trewella et al. 2023),INCLUDE,"",Population not in support,yes,yes,Population not in support with data of quality,Population not in support with data of quality,Population with data,No,Population not in support with data
(Vernes et al. 2021a)_INCLUDE_NA_Predation in support_no_no,(Vernes et al. 2021a),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Wallach & Lundgren 2025)_INCLUDE_NA_Population in support_yes_no,(Wallach & Lundgren 2025),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Wayne et al. 2017b)_INCLUDE_NA_Population in support_yes_no,(Wayne et al. 2017b),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Wheeler & Priddel 2009)_INCLUDE_NA_Predation in support_no_no,(Wheeler & Priddel 2009),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Wysong 2016)_INCLUDE_NA_Predation in support_no_no,(Wysong 2016),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Molloy & Daniel 1995)_INCLUDE_NA_Predation in support_no_no,(Molloy & Daniel 1995),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Van Denburgh 1924)_EXCLUDE_NA_No claim_NA_NA,(Van Denburgh 1924),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Scott & Morrison 1990)_EXCLUDE_Peer-reviewed journal article_Failure to access or locate online full citation_NA_NA,(Scott & Morrison 1990),EXCLUDE,Peer-reviewed journal article,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(McClellan & Wood 2004)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(McClellan & Wood 2004),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Copley 1999a)_EXCLUDE_NA_No claim_NA_NA,(Copley 1999a),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
D. Algars pers. comm._EXCLUDE_NA_Personal communication_NA_NA,D. Algars pers. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Dickman 1993)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Dickman 1993),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Dickman 1994)_EXCLUDE_NA_No claim_NA_NA,(Dickman 1994),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
"(Fancourt 2011)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Fancourt 2011),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Fisher & Goldizen 2001)_EXCLUDE_NA_No claim_NA_NA,(Fisher & Goldizen 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Ford et al. 2003)_EXCLUDE_NA_Expert opinion_NA_NA,(Ford et al. 2003),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
J. Augusteyn pes. Comm._EXCLUDE_NA_Personal communication_NA_NA,J. Augusteyn pes. Comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
K. Morris pers. comms._EXCLUDE_NA_Personal communication_NA_NA,K. Morris pers. comms.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
K. Morris pes. comm._EXCLUDE_NA_Personal communication_NA_NA,K. Morris pes. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Kinnear et al. 2002)_EXCLUDE_NA_No claim_NA_NA,(Kinnear et al. 2002),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Martin & Temple-Smith 2012)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Martin & Temple-Smith 2012),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Menkhorst 2003)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Menkhorst 2003),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Menkhorst & Broome 2006)_EXCLUDE_NA_Expert opinion_NA_NA,(Menkhorst & Broome 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Menkhorst et al. 2013)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Menkhorst et al. 2013),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Menkhorst 2009)_EXCLUDE_NA_Expert opinion_NA_NA,(Menkhorst 2009),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
Menkhurst et al. 2008_EXCLUDE_NA_Missing reference_NA_NA,Menkhurst et al. 2008,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Mifsud 1999)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Mifsud 1999),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Moseby et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Moseby et al. 2009),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
NOTHING_EXCLUDE_NA_No citation given_NA_NA Antechinus bellus,NOTHING NA Antechinus bellus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Bettongia tropica,NOTHING NA Bettongia tropica,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Isoodon auratus,NOTHING NA Isoodon auratus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Mesembriomys gouldii,NOTHING NA Mesembriomys gouldii,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Myrmecobius fasciatus,NOTHING NA Myrmecobius fasciatus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Pseudantechinus mimulus,NOTHING NA Pseudantechinus mimulus,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Zyzomys maini,NOTHING NA Zyzomys maini,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
NOTHING_EXCLUDE_NA_No citation given_NA_NA Zyzomys palatalis,NOTHING NA Zyzomys palatalis,EXCLUDE,"",No citation given,"",no,No citation,Opinion claim,Excluded,Not relevant,Nothing cited
(NSW Department of Environment and Climate Change 2005)_INCLUDE_NA_Predation in support_no_no,(NSW Department of Environment and Climate Change 2005),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
P. McRae pers. comm._EXCLUDE_NA_Personal communication_NA_NA,P. McRae pers. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Pavey 2006)_EXCLUDE_NA_Expert opinion_NA_NA,(Pavey 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Pavey et al. 2012)_EXCLUDE_NA_Expert opinion_NA_NA,(Pavey et al. 2012),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
S. Legge pers.comm._EXCLUDE_NA_Personal communication_NA_NA,S. Legge pers.comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Van Dyck & Gynther 2012)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Van Dyck & Gynther 2012),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Woinarski et al. 2014) core source_INCLUDE_NA_Predation in support_no_no,(Woinarski et al. 2014) core source,INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
"LCY and EAV, unpubl. data_EXCLUDE_NA_Unpublished data or article_NA_NA","LCY and EAV, unpubl. data",EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Zavalaga et al. 2008b)_EXCLUDE_NA_No claim_NA_NA,(Zavalaga et al. 2008b),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Zino 1992)_INCLUDE_NA_Predation in support_no_no,(Zino 1992),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
"(Zino 1991)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Zino 1991),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Aguilar 1999)_EXCLUDE_NA_Expert opinion_NA_NA,(Aguilar 1999),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Best & Powlesland 1985)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Best & Powlesland 1985),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Bradley & Gerber 2005)_EXCLUDE_NA_Expert opinion_NA_NA,(Bradley & Gerber 2005),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Burbidge et al. 2000)_EXCLUDE_NA_Expert opinion_NA_NA,(Burbidge et al. 2000),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Butler 1989)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Butler 1989),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Watling 1995)_EXCLUDE_NA_No claim_NA_NA,(Watling 1995),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Daniel 1990)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Daniel 1990),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Finlayson et al. 2010)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Finlayson et al. 2010),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(McCormack & Künzlè 1996)_EXCLUDE_NA_No claim_NA_NA,(McCormack & Künzlè 1996),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
