original,Endnote_intext_citation
"Dorner, H. (1872). Nachrichten aus dem Zoologischen Garten in Hamburg. Der Zoologische Garten 3, 97–107.",(Dorner 1872)
"Dowding & Murphy, 2001",(Dowding & Murphy 2001)
"Dowding JE, Murphy EC (2001) The impact of predation by introduced mammals on endemic shorebirds in New Zealand: a conservation perspective. Biological Conservation, 99, 47–64.",(Dowding & Murphy 2001)
"Dowding, J.E. 2006. Management of northern New Zealand dotterels on Coromandel Peninsula. Department of Conservation, Wellington.",(Dowding 2006)
"Dowding, J.E., Kennedy, E.S. 1993. Size, age structure and morphometrics of the Shore Plover population on South East Island. Notornis 40: 213-222.",(Dowding & Kennedy 1993)
"Dowler, R.C., Carroll, D.S. and Edwards, C.W., 2000. Rediscovery of rodents (Genus Nesoryzomys) considered extinct in the Galapagos Islands. Oryx, 34(2), pp.109-117.",(Dowler et al. 2000)
"Drost C.A., Lewis D.B. 1995. Xantus' Murrelet (Synthliboramphus hypoleucas). In: Poole, A.; Gill, F. (ed.), The birds of North America, No. 164, pp. 1-24. The Academy of Natural Sciences, and The American Ornithologists' Union, Philadelphia, and Washington, DC.",(Drost & Lewis 1995)
"Dumont, Y., Russell, J.C., Lecomte, V. and Le Corre, M., 2010. Conservation of endangered endemic seabirds within a multi‐predator context: the Barau's Petrel in Réunion island. Natural Resource Modeling, 23(3), pp.381-436.",(Dumont et al. 2010)
"Duncan, A.M., Baker, G.B. and Montgomery, N. eds., 1999. The action plan for Australian bats. Natural Heritage Trust.",(Duncan et al. 1999)
"Dunlop, J., Smith, A., Burbidge, A.H., Thomas, N., Hamilton, N.A. and Morris, K., 2021. Industry environmental offset funding facilitates a large multi-species fauna translocation program. Pacific Conservation Biology, 28(3), pp.231-246.",(Dunlop et al. 2021)
"Dunlop, J.N. 2015. Fairy Tern (Sternula nereis) conservation in south-western Australia. Conservation Council, Perth.",(Dunlop 2018)
"Durette-Desset, M.C. and Pesson, B., 1987. Molineus patens (Dujardin, 1845)(Nematoda, Trichostrongyloidea) et autres espèces décrites sous ce nom. Annales de parasitologie humaine et comparée, 62(4), pp.326-344.",(Durette-Desset & Pesson 1987)
"Dutson, G., 2013. Population densities and conservation status of Norfolk Island forest birds. Bird Conservation International, 23(3), pp.271-282.",(Dutson 2013)
"Dutson, G.U.Y., 2013. Population densities and conservation status of Norfolk Island forest birds. Bird Conservation International, 23(3), pp.271-282.",(Dutson 2013)
"Dutton, J. 1994. Introduced mammals in São Tomé and Príncipe: possible threats to biodiversity. Biodiversity and Conservation 3: 927-938.",(Dutton 1994)
"Dvorak, M., Fessl, B., Nemeth, E.., Anchundia, D., Cotin, J., Schulze, C.H., Tapia, W. and Wendelin, B., 2020. Survival and extinction of breeding landbirds on San Cristóbal, a highly degraded island in the Galápagos. Bird Conservation International, 30(3), pp.381-395.",(Dvorak et al. 2020)
Dwyer PD 1962. Studies on the two New Zealand bats. Zoology Publications from Victoria University of Wellington 28: 128,(Dwyer 1962)
E. A. Schreiber in litt. 1999,E. A. Schreiber in litt. 1999
"E. Bonnaud et al., Top-predator control on islands boosts endemic prey but not mesopredator. Animal Conservation. 13, 556–567 (2010).",(Bonnaud et al. 2010b)
"E. Bonnaud, K. Bourgeois, E. Vidal, J. Legrand, M. Le Corre, How can the yelkouan shearwater survive feral cat predation? A meta-population structure as a solution? Population Ecology. 51, 261–270 (2009).",(Bonnaud et al. 2009)
"E. H. Rave, A. Cooper, D. Hu, R. Swift, K. Misajon, Population and reproductive trends of Nene Branta sandvicensis in Hawaii Volcanoes National Park, 1989-1999. Wildfowl. 55, 7–16 (2005).",(Rave et al. 2005)
E. Hagen in litt. 2020,E. Hagen in litt. 2020
"E. Mellink, G. Ceballos, J. Luévano, Population demise and extinction threat of the Angel de la Guarda deer mouse (Peromyscus guardia). Biological Conservation. 108, 107–111 (2002).",(Mellink et al. 2002)
"E. S. Kennedy, ""Extinction vulnerability in two small, chronically inbred populations of Chatham Island black robin Petroica traversi"", thesis, Lincoln University, Lincoln (2009).",(Kennedy 2009)
E. VanGelder in litt. 1999,E. VanGelder in litt. 1999
"E.A. Bell, D Burgin, J. Sim, K. Dunleavy, A. Fleishman, R.P. Scofield (2018) Population trends, breeding distribution and habitat use of black petrels (Procellaria parkinsoni): 2016/2017 operational report. New Zealand aquatic environment and biodiversity report, no. 198.",(Bell et al. 2018)
"Echternacht, A.C., Burton, F.J. and Blumenthal, J.M. 2011. The amphibians and reptiles of the Cayman Islands: Conservation issues in the face of invasions. In: A. Hailey, B.S. Wilson and J.A. Horrocks (eds), Conservation of Caribbean Island Herpetofaunas, Vol. 2. Regional Accounts of the West Indies, pp. 440. Brill, Leiden, Netherlands.",(Echternacht et al. 2011)
"Eifler, M.A. and Eifler, D.A., 2025. Ecological Factors Associated with Burrow System Occupancy by Great Desert Skinks (Liopholis kintorei). Diversity, 17(2), p.134.",(Eifler & Eifler 2025)
"Engeman, R., Whisson, D., Quinn, J., Cano, F., Quiñones, P. and White Jr, T.H., 2006. Monitoring invasive mammalian predator populations sharing habitat with the critically endangered Puerto Rican parrot Amazona vittata. Oryx, 40(1), pp.95-102.",(Engeman et al. 2006)
"Engilis, A., Jr. K. J. Uyehara, and J. G. Giffin (2020). Hawaiian Duck (Anas wyvilliana), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.hawduc.01",(Engilis Jr et al. 2020)
"Engilis, A., Pratt, T. K. 1993. Status and population trends of Hawaii's native waterbirds, 1977-1987. Wilson Bulletin 105: 142-158.",(Engilis Jr & Pratt 1993)
"Evans, M.J., Batson, W.G., Gordon, I.J., Belton, E., Chaseling, T., Fletcher, D., Harrison, M., McElroy, T., Mungoven, A., Newport, J. and Pierson, J., 2021. The ‘Goldilocks Zone’of predation: the level of fox control needed to select predator resistance in a reintroduced mammal in Australia. Biodiversity and Conservation, 30, pp.1731-1752.",(Evans et al. 2021)
"F. Andreone, E. Gavetti, Some remarkable specimens of the giant cape verde skink, Macroscincus coctei (Duméril & Bibron, 1839), with notes about its distribution and causes of its possible extinction. Italian Journal of Zoology. 65, 413–421 (1998).",(Andreone & Gavetti 1998)
F. Burns in litt. 2008,F. Burns in litt. 2008
F. Burns in litt. 2010,F. Burns in litt. 2010
"F. Cruz-Delgado, J. A. Gonzalez, D. A. Wiedenfeld, Breeding biology of the critically endangered Galapagos petrel Pterodroma phaeopygia on San Cristóbal Island: conservation and management implications. Bird Conservation International. 20, 306–319 (2010).",(Cruz-Delgado et al. 2010)
"F. J. Vilella, Reproductive ecology and behaviour of the Puerto Rican Nightjar Caprimulgus noctitherus. Bird Conservation International. 5, 349–366 (2010).",(Vilella 1995)
F. Rodríguez in litt. 2016,F. Rodríguez in litt. 2016
"FLEMING, C.A. 1939. Birds of the Chatham Islands. Part I11 The Shore Plover. Emu 39: 1-15,",(Fleming 1939)
"Faegre, S.K., Nietmann, L., Hannon, P., Ha, J.C. and Ha, R.R., 2020. Age-related differences in diet and foraging behavior of the critically endangered Mariana Crow (Corvus kubaryi), with notes on the predation of Coenobita hermit crabs. Journal of Ornithology, 161(1), pp.149-158.",(Faegre et al. 2020)
"Famira-Parcsetich, E.M., Meinig, H., von Thaden, A., Büchner, S., Jelinek, C., Lierz, M. and Lang, J., Causes of Mortality of the Endangered Garden Dormice Eliomys quercinus (Linnaeus, 1766)(Rodentia: Gliridae) from Germany.",(Famira-Parcsetich et al. 2024)
"Fancourt B (2011) Drought, disease or destiny? Identifying the cause of decline of the eastern quoll. Australian Wildlife 4, 26-27",(Fancourt 2011)
"Fancourt, B.A., 2014. Rapid decline in detections of the Tasmanian bettong (Bettongia gaimardi) following local incursion of feral cats (Felis catus). Australian Mammalogy, 36(2), pp.247-253.",(Fancourt 2014)
"Fancourt, B.A., 2016. Diagnosing species decline: a contextual review of threats, causes and future directions for management and conservation of the eastern quoll. Wildlife Research, 43(3), pp.197-211.",(Fancourt 2016)
"Fancourt, B.A., Hawkins, C.E., Cameron, E.Z., Jones, M.E. and Nicol, S.C., 2015. Devil declines and catastrophic cascades: is mesopredator release of feral cats inhibiting recovery of the eastern quoll?. PLoS One, 10(3), p.e0119303.",(Fancourt et al. 2015)
"Farris Z.J. and Kelly, M.J. 2011. A preliminary assessment of carnivores across the Makira Protected Area, Madagascar: results from a WCS pilot camera study. Wildlife Conservation Society, Antananarivo, Madagascar.",(Farris & Kelly 2011)
"Farris Z.J., Kelly M., Karpanty S.M., Ratelolahy F., Andrianjakarivelo V. and Holmes C. 2012. Brown-tailed Vontsira Salanoia concolor (Eupleridae) documented in Makira Natural Park, Madagascar: new insights on distribution and camera-trap success. Small Carnivore Conservation 47: 82–86.",(Farris et al. 2012)
"Farris, Z.J., Gerber, B.D., Karpanty, S., Murphy, A., Andrianjakarivelo, V., Ratelolahy, F. and Kelly, M.J., 2015. When carnivores roam: temporal patterns and overlap among M adagascar's native and exotic carnivores. Journal of Zoology, 296(1), pp.45-57.",(Farris et al. 2015a)
"Farris, Z.J., Golden, C., Karpanty, S., Murphy, A., Stauffer, D., Andrianjakarivelo, V., Ratelolahy, F., Holmes, C. and Kelly, M.J. In review a. Effects of poaching, micro-habitat and landscape variables, human encroachment, and exotic species on Madagascar’s endemic and exotic carnivore community across the Masoala-Makira landscape.",(Farris et al. 2015b)
"Farris, Z.J., Golden, C.D., Karpanty, S., Murphy, A., Stauffer, D., Ratelolahy, F., Andrianjakarivelo, V., Holmes, C.M. and Kelly, M.J., 2015. Hunting, exotic carnivores, and habitat loss: anthropogenic effects on a native carnivore community, Madagascar. PloS one, 10(9), p.e0136456.",(Farris et al. 2015b)
"Farris, Z.J., Karpanty, S., Kelly, M., Murphy, A., Ratelolahy, F. and Holmes C. In prep. c. Spatial co-occurrence and detection of endemic and exotic carnivores in Madagascar: factors impacting their interactions across the Masoala-Makira landscape.",(Farris et al. 2016)
"Farris, Z.J., Kelly, M.J., Karpanty, S. and Ratelolahy, F., 2016. Patterns of spatial co‐occurrence among native and exotic carnivores in north‐eastern M adagascar. Animal Conservation, 19(2), pp.189-198.",(Farris et al. 2016)
"Farris, Z.J., Kelly, M.J., Karpanty, S., Murphy, A., Ratelolahy, F., Andrianjakarivelo, V. and Holmes, C., 2017. The times they are a changin': Multi-year surveys reveal exotics replace native carnivores at a Madagascar rainforest site. Biological Conservation, 206, pp.320-328.",(Farris et al. 2017)
"Faulquier, L., Fontaine, R., Vidal, E., Salamolard, M. and Le Corre, M., 2009. Feral cats Felis catus threaten the endangered endemic Barau's petrel Pterodroma baraui at Reunion Island (Western Indian Ocean). Waterbirds, 32(2), pp.330-336.",(Faulquier et al. 2009)
"Fechney, T., Alterio, N., Ratz, H. and Moiler, H. (1993) Protection of Yellow-eyed penguins from predation: second year research report. University of Otago Wildlife Management Report, No. 35.",(Fechney et al. 1993)
"Feit, B., Feit, A. and Letnic, M., 2019. Apex predators decouple population dynamics between mesopredators and their prey. Ecosystems, 22, pp.1606-1617.",(Feit et al. 2019)
"Felis, J.J., Adams, J., Hodum, P.J., Carle, R.D. and Colodro, V., 2019. Eastern Pacific migration strategies of Pink-footed Shearwaters Ardenna creatopus: Implications for fisheries interactions and international conservation. Endangered Species Research, 39, pp.269-282.",(Felis et al. 2019)
"Felix, M.L., Mortensen, J.L., Morton, M.N. and Tschirky, J. 2014. The Gòj Blan Plan: an action plan for recovering the white-breasted thrasher on Saint Lucia. Unpubl. report to the Trust for the Management of Rivers, Saint Lucia Forestry Department, Saint Lucia National Trust, Durrell Wildlife Conservation Trust and the American Bird Conservancy.",(Felix et al. 2014)
"Fernandes, K., Bateman, P.W., Saunders, B.J., Bunce, M., Bohmann, K. and Nevill, P., 2023. Use of carrion fly iDNA metabarcoding to monitor invasive and native mammals. Conservation Biology, 37(5), p.e14098.",(Fernandes et al. 2023)
"Ferreira, S. M. Taylor, S. 2003. Population decline of brown teal (Anas chlorotis) on Great Barrier Island. Notornis 50: 141-147.",(Ferreira & Taylor 2003)
"Finlayson, G.R., Finlayson, S.T. & Dickman, C.R. (2010) Returning the rat-kangaroos: translocation attempts in the Family Potoroidae (superfamily Macropodoidea) and recommendations for conservation. In Macropods: the Biology of Kangaroos, Wallabies and Rat-kangaroos (eds. G. Coulson and M. Eldridge), pp. 245–262. CSIRO Publishing: Melbourne, Australia.",(Finlayson et al. 2010)
"Finlayson, G.R., Finlayson, S.T. and Dickman, C.R., 2010. 22 Returning the Rat-Kangaroos: Translocation Attempts in the Family Potoroidae (superfamily Macropodoidea) and Recommendations for Conservation. In Macropods (p. 245). CSIRO Publishing.",(Finlayson et al. 2010)
"Fisher, D., 1999. Behavioural ecology and demography of the bridled nailtail wallaby, Onychogalea fraenata. PhD Thesis, School of Biological Sciences, The University of Queensland.",(Fisher 1999)
"Fisher, D.O. and Goldizen, A.W., 2001. Maternal care and infant behaviour of the bridled nailtail wallaby (Onychogalea fraenata). Journal of Zoology, 255(3), pp.321-330.",(Fisher & Goldizen 2001)
"Fisher, D.O., Blomberg, S.P. and Hoyle, S.D., 2001. Mechanisms of drought-induced population decline in an endangered wallaby. Biological Conservation, 102(1), pp.107-115.",(Fisher et al. 2001)
"Fisher, D.O., Hoyle, S.D. and Blomberg, S.P., 2000. Population dynamics and survival of an endangered wallaby: a comparison of four methods. Ecological Applications, 10(3), pp.901-910.",(Fisher et al. 2000)
"Fisher, R.N., Niukula, J., Harlow, P.S., Rasalato, S., Chand, R., Thaman, B., Seniloli, E., Vadada, J., Cranwell, S., Brown, J., et al. 2019. Community-based conservation and recovery of native species on Monuriki Island, Fiji. In: C.R. Veitch, M.N. Clout, A.R. Martin, J.C. Russell and C.J. West (eds), Island Invasives Scaling up to Meet the Challenge. International Conference on Island Invasives, pp. 552–557. Gland, Switzerland.",(Fisher et al. 2019)
"Fitzgerald, M., Shine, R. and Lemckert, F., 2002. Spatial ecology of arboreal snakes (Hoplocephalus stephensii, Elapidae) in an eastern Australian forest. Austral Ecology, 27(5), pp.537-545.",(Fitzgerald et al. 2002)
"Flannery T, Schouten P (2001) A Gap in Nature: Discovering the World´s Extinct Animals. William Heinemann, London, 184 pp.",(Flannery 2001)
"Fleming, C. A. 1939. Birds of the Chatham Islands. Emu 38: 380-413, 492-509.",(Fleming 1939)
"Fleming, G.J., 1997. Husbandry and medical management of komodo dragons (Varanus komodoensis) at the white oak conservation centre. Proc. Assoc. Reptil. Amphib. Vet, 1, pp.15-22.",(Fleming & Frahm 1997)
"Flores Ravelo, A.J. and Rando Reyes, J.C. 2021. Trophic ecology of cats (Felis catus) in Montaña de Guaza: implications for the conservation of the critically endangered giant lizard of Tenerife (Gallotia intermedia). Revista Scientia Insularum 4: 63-80.",(Flores Ravelo & Rando Reyes 2021)
"Flores-Martínez, J.J. and Sánchez-Cordero, V., 2019. Geographical distribution and conservation status of an endemic insular mammal: the Vulnerable fish-eating bat Myotis vivesi. Oryx, 53(2), pp.388-393.",(Herrera M. et al. 2019)
"Flux, J.E., 2007. Seventeen years of predation by one suburban cat in New Zealand. New Zealand Journal of Zoology, 34(4), pp.289-296.",(Flux 2007)
"Fokidis, H.B., Orchinik, M. and Deviche, P., 2009. Corticosterone and corticosteroid binding globulin in birds: relation to urbanization in a desert city. General and comparative endocrinology, 160(3), pp.259-270.",(Fokidis et al. 2009)
"Ford, F., Cockburn, A. and Broome, L., 2003. Habitat preference, diet and demography of the smoky mouse, Pseudomys fumeus (Rodentia: Muridae), in south-eastern New South Wales. Wildlife Research, 30(1), pp.89-101.",(Ford et al. 2003)
"Ford, H. (1979). Birds. In Natural history of Kangaroo Island, ed. M.J. Tyler, C.R. Twidale & J.K. Ling. Royal Society of South Australia, Inc., Adelaide, pp. 103-14.",(Ford 1979)
"French, A.F., Castillo-Alcala, F., Gedye, K.R., Roe, W.D. and Gartrell, B.D., 2020. Nematode larva migrans caused by Toxocara cati in the North Island brown kiwi (Apteryx mantelli). International Journal for Parasitology: Parasites and Wildlife, 11, pp.221-228.",(French et al. 2020)
Friend T. 2003. Dibbler (Parantechinus apicalis) Recovery Plan July 2003–June 2013. Wildlife Management Program. Department of Conservation and Land Management Western Australian Threatened Species and Communities Unit,(Friend 2003)
"Friend, J. A. 2008. Numbat, Myrmecobius fasciatus. In: S. Van Dyck and R. Strahan (eds), The mammals of Australia. Third Edition, pp. 163-165. Reed New Holland, Sydney, Australia.",(Friend 2008)
"Friend, J.A. and Thomas, N.D., 1994. Reintroduction and the numbat recovery programme. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.189-198.",(Friend & Thomas 1994)
"Friend, J.A., 1990. The numbat Myrmecobius fasciatus (Myrmecobiidae): history of decline and potential for recovery. In Proceedings of the Ecological Society of Australia (Vol. 16, pp. 369-377).",(Friend 1990)
"Friend, J.A., Hill, R., Macmahon, B., Bell, L., Button, T., Mosen, C. and Hill, S., 2020. Are red-tailed phascogales (Phascogale calura) at risk from Eradicat® cat baits?. Wildlife Research, 47(8), pp.747-761.",(Friend et al. 2020)
"Fujihara, M. and Inoue-Murayama, M., 2024. The wildlife biobanking of germ cells for in situ and ex situ conservation in Japan. Theriogenology Wild, p.100086.",(Fujihara & Inoue-Murayama 2024)
"Fullagar, P J. (1985). The Lord Howe Island Woodhen Project. Avicult. Mag. 91:15-30.",(Fullagar 1985)
"Fuller, E. (2000) Extinct Birds. Oxford University Press, Oxford, UK.",(Fuller 2001)
"Fundacao Principe. 2019. Understanding the Remarkable Biodiversity of Príncipe Island – Scientific Report. Fundação Príncipe, Santo Antonio, Príncipe Island, .",(Fundação Príncipe 2019)
"Funk, M.S., 1996. Development of object permanence in the New Zealand parakeet (Cyanoramphus auriceps). Animal Learning & Behavior, 24, pp.375-383.",(Funk 1996)
G. A. Taylor in litt. 1994,G. A. Taylor in litt. 1994
"G. A. Taylor, “Action plan for seabird conservation in New Zealand” (Department of Conservation, Wellington, 2000).",(Taylor 2000)
G. Aridito pers. com.,G. Aridito pers. com.
G. Clemmer pers. comm. 1995,G. Clemmer pers. comm. 1995
G. Dutson in litt. 2007,G. Dutson in litt. 2007
"G. Elliott, J. Kemp, “Effect of hunting and predation on kea, and a method of monitoring kea populations: results of kea research on the St Arnaud Range” (Department of Conservation, Wellington, 2004).",(Elliott & Kemp 2004)
G. Hilton in litt. 2006,G. Hilton in litt. 2006
"G. J. Witteman, R. E. Beck, S. L. Pimm, S. R. Derrickson, The decline and restoration of the Guam rail, Rallus owstoni. Endangered Species Update. 7, 36–39 (1990).",(Witteman et al. 1990)
"G. Lobos, A. Charrier and M. Vidal pers. comm. May 2018","G. Lobos, A. Charrier and M. Vidal pers. comm. May 2018"
G. McKinlay in litt. 2018,G. McKinlay in litt. 2018
"G. Mccormack, J. Künzlè, The 'Ura or Rimatara Lorikeet Vini kuhlii: its former range, present status, and conservation priorities. Bird Conservation International. 6, 325–334 (1996).",(McCormack & Künzlè 1996)
G. Rivas pers. comm. 2018,G. Rivas pers. comm. 2018
Galbreath 1989,Galbreath 1989
"Galbreath, R. & Brown, D. 2004. The tale of the lighthouse-keeper’s cat: Discovery and extinction of the Stephens Island wren (Traversia lyalli). Notornis 51(4): 193–200.",(Galbreath & Brown 2004)
"García, M.A., Diez, C.A. and Alvarez, A.O., 2001. The impact of feral cats on Mona Island wildlife and recommendations for their control. Caribbean Journal of Science, 37(1/2), pp.107-108.",(Garcia et al. 2001)
"García-Márquez M, López-Jurado LF, Mateo JA (1997) Predación de Gallotia simonyi por gatos cimarrones. Boletín de la Asociación Herpetológica Española, 8, 20-23.",(García Márquez et al. 1997)
"Garcıa-Marquez M, Caetano A, Bello I, Lopez-Jurado LF, Mateo JA (1997) Ecologıa del gato cimarron en el ecosistema termo ́filo de El Hierro (Islas Canarias) y su impacto sobre el lagarto gigante (Gallotia simonyi). Monogr Herpetol 4:207–222",(García Márquez et al. 1999)
"Gardiner, R., Bain, G., Hamer, R., Jones, M.E. and Johnson, C.N., 2018. Habitat amount and quality, not patch size, determine persistence of a woodland-dependent mammal in an agricultural landscape. Landscape Ecology, 33, pp.1837-1849.",(Gardiner et al. 2018)
Garnett 2010,Garnett 2010
Garnett 2020,Garnett 2020
"Garnett S.T., Szabo J.K., Dutson G. 2011. The Action Plan for Australian Birds 2010. CSIRO Publishing, Collingwood.",(Garnett et al. 2011)
"Garnett, S.T., Baker, G.B. (ed.), The Action Plan for Australian Birds 2020. CSIRO Publishing, Melbourne.",(Garnett & Baker 2021)
"Gaschk, J.L. and Clemente, C.J., 2022. Classifying relationships that define interactions between native and invasive species in Australian ecosystems. Australian Journal of Zoology, 70(1), pp.22-35.",(Gaschk & Clemente 2022)
"Gawlik, D.E. and K.L. Bildstein. 1990. Reproductive success and nesting habitat of Loggerhead Shrikes in north-central South Carolina. Wilson Bulletin 102: 37-48.",(Gawlik & Bildstein 1990)
"Gentile, G., Marquez, C., Snell, H.L., Tapia, W. and Izurieta, A. 2016. Conservation of a new flagship species: the Galápagos Pink Land Iguana (Conolophus marthae Gentile and Snell, 2009). In: F.M. Angelici (ed.), Problematic Wildlife: A Cross Disciplinary Approach, pp. 315–336. Springer International Publishing, Switzerland.",(Gentile et al. 2015)
"Gerard, A., Jourdan, H., Millon, A. and Vidal, E., 2016. Knocking on heaven's door: are novel invaders necessarily facing naive native species on islands?. PLoS One, 11(3), p.e0151545.",(Gérard et al. 2016)
Gerber,(Gerber 1995)
"Gerber, B.D., Karpanty, S.M. and Randrianantenaina, J., 2012. The impact of forest logging and fragmentation on carnivore species composition, density and occupancy in Madagascar's rainforests. Oryx, 46(3), pp.414-422.",(Gerber et al. 2012)
"Gerber, G.P. 1995. Population status of the Turks and Caicos rock iguana. Report to the National Trust of the Turks and Caicos Islands.",(Gerber 1995)
"Gerber, G.P. 2000. Conservation of the Anegada iguana, Cyclura pinguis: Field Research Report. Unpublished report to the British Virgin Islands National Parks Trust, Flora and Fauna International, and the Zoological Society of San Diego.",(Bradley & Gerber 2005)
"Gerbracht, J. 2021. St. Kitts Bullfinch (Melopyrrha grandis), version 1.0. In Birds of the World (J. Gerbracht, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.",(Gerbracht 2021)
"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",(Geyle et al. 2024)
"Geyle, H.M., Woinarski, J.C., Baker, G.B., Dickman, C.R., Dutson, G., Fisher, D.O., Ford, H., Holdsworth, M., Jones, M.E., Kutt, A. and Legge, S., 2018. Quantifying extinction risk and forecasting the number of impending Australian bird and mammal extinctions. Pacific Conservation Biology, 24(2), pp.157-167.",(Geyle et al. 2018)
"Geyle, H.M., Young, A.R., Murphy, B.P., Dickman, C.R., Schlesinger, C., Dixon, K.M., Moore, H., Legge, S., Silcock, J., Indigo, N. and Dziminski, M., 2025. Declines in greater bilby (Macrotis lagotis) geographic range and realised niche are best explained by the invasive red fox (Vulpes vulpes). Biological Conservation, 302, p.110872.",(Geyle et al. 2025)
"Ghestemme, T. 2009. Le Monarque de Tahiti rajeunit mais les martins-chasseurs l'empêchent de s'établir. Te Manu: 3-4.",(Ghestemme 2009)
"Ghestemme, T., Matohi, A., Blanvillain, C., Portier, E. and O’Brien, M., 2019. Catastrophic decline and subsequent conservation management of the Critically Endangered Fatu Hiva Monarch Pomarea whitneyi in the Marquesas Islands (French Polynesia). Bird Conservation International, 29(4), pp.598-615.",(Ghestemme et al. 2019)
"Gibbons J (1984) Iguanas of the South Pacific. Oryx, 18, 82-91.",(Gibbons 1984)
"Gibbs, D., Barnes, E. & Cox, J. 2001. Pigeons and doves. Robertsbridge, Sussex: Pica Press.",(Gibbs et al. 2001)
"Gilfillan S, Comer S, Burbidge AH, Blyth J, Danks A, Newell J (2009) ‘South Coast Threatened Birds Recovery Plan. Western Australian Wildlife Management Program No. 44’. WA Department of Environment and Conservation, Perth.",(Gilfillan et al. 2009)
"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.",(Gillies et al. 2003)
"Gilmour, M.E., Felis, J., Hester, M., Young, L. and Adams, J., 2022. Laysan albatross exhibit complex behavioral plasticity in the subtropical and subarctic North Pacific Ocean. Marine Ecology Progress Series, 697, pp.125-147.",(Gilmour et al. 2022)
"Gineste, B., Souquet, M., Couzi, F.X., Giloux, Y., Philippe, J.S., Hoarau, C., Tourmetz, J., Potin, G. and Le Corre, M., 2017. Tropical Shearwater population stability at Reunion Island, despite light pollution. Journal of Ornithology, 158(2), pp.385-394.",(Gineste et al. 2017)
"Ginovés, J., Betoret, A. and Martín, A. 2005. Estudio de la población del lagarto gigante de Tenerife (Gallotia intermedia) en el Espacio Natural Protegido de la Montaña de Guaza. Animal Biology Department (zoology). University of La Laguna. 126 pp.",(Ginovés et al. 2005)
"Girardet SAB, Veitch CR, Craig JL (2001) Bird and rat numbers on Little Barrier Island, New Zealand, over the period of cat eradication 1976-1980. New Zealand Journal of Zoology, 28, 13-29.",(Girardet et al. 2001)
"Glen, A.S. and Dickman, C.R., 2008. Niche overlap between marsupial and eutherian carnivores: does competition threaten the endangered spotted‐tailed quoll?. Journal of applied Ecology, 45(2), pp.700-707.",(Glen & Dickman 2008)
"Glen, A.S., Berry, O., Sutherland, D.R., Garretson, S., Robinson, T. and De Tores, P.J., 2010. Forensic DNA confirms intraguild killing of a chuditch (Dasyurus geoffroii) by a feral cat (Felis catus). Conservation Genetics, 11, pp.1099-1101.",(Glen et al. 2010)
"Glen, A.S., De Tores, P.J., Sutherland, D.R. and Morris, K.D., 2009. Interactions between chuditch (Dasyurus geoffroii) and introduced predators: a review. Australian Journal of Zoology, 57(5), pp.347-356.",(Glen et al. 2009)
"Glen, A.S., Dickman, C.R., Soule, M.E. and Mackey, B.G., 2007. Evaluating the role of the dingo as a trophic regulator in Australian ecosystems. Austral Ecology, 32(5), pp.492-501.",(Glen et al. 2007)
"Glen, A.S., Pennay, M., Dickman, C.R., Wintle, B.A. and Firestone, K.B., 2011. Diets of sympatric native and introduced carnivores in the Barrington Tops, eastern Australia. Austral Ecology, 36(3), pp.290-296.",(Glen et al. 2011)
"Goder, M., Mootoocurpen, R., Mellier, S., Hayes, R., Nundlaul, V., Roopa, P. and Cole, N. 2015. Restoration of Island Ecosystems in Mauritius: The Reptile Recovery Programme Annual Report 2015. Mauritian Wildlife Foundation, Vacoas, Mauritius.",(Goder et al. 2015)
"Goldingay, R.L., 2024. The influence of bait and camera type on detection of a spectrum of medium-sized Australian mammals. Australian Mammalogy, 46(2).",(Goldingay 2024)
"Gonzalez, J., 2014. Phylogenetic position of the most endangered Chilean bird: the Masafuera Rayadito (Aphrastura masafuerae, Furnariidae). Tropical Conservation Science, 7(4), pp.677-689.",(Gonzalez 2014)
"González-Solís, J., Riera, J.L., Dinis, H.A., de Pina, A. and Militão, T., 2024. Life history, population dynamics and impacts of cat predation on an endemic gadfly petrel in Cabo Verde. Endangered Species Research, 55, pp.187-203.",(González-Solís et al. 2024)
"Goode, A.B.C., Pasachnik, S.A. and Maple, T.L., 2020. Assessing the status of a threatened island endemic, Ctenosaura oedirhina, on Roatán, Honduras. Wildlife Research, 47(2), pp.137-145.",(Goode et al. 2020)
